exchange,symbol,quote_asset,volume_bucket,cap_bucket,market_cap,rank_score,blacklisted,source_file
binance,BINANCE:ALLOUSDT,USDT,5M+,10M-100M,99846300,33,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:ALLOUSDT.P,USDT,5M+,10M-100M,99846300,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:USELESSUSDT.P,USDT,5M+,10M-100M,94882566,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:METUSDT.P,USDT,5M+,10M-100M,89991196,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:OUSDT.P,USDT,5M+,10M-100M,89681689,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:SPCXBUSDT,USDT,5M+,10M-100M,85227877,33,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:YFIUSDT,USDT,5M+,10M-100M,82956209,33,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:YFIUSDT.P,USDT,5M+,10M-100M,82956209,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:RAVEUSDT.P,USDT,5M+,10M-100M,80886495,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:MAGMAUSDT.P,USDT,5M+,10M-100M,79953743,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:SYNUSDT,USDT,5M+,10M-100M,78083814,33,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:SYNUSDT.P,USDT,5M+,10M-100M,78083814,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ZENUSDT.P,USDT,5M+,10M-100M,76264448,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ZAMAUSDT.P,USDT,5M+,10M-100M,75169700,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:RIVERUSDT.P,USDT,5M+,10M-100M,74267093,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ORDIUSDT.P,USDT,5M+,10M-100M,73533257,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:CHIPUSDT.P,USDT,5M+,10M-100M,70450075,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:SIRENUSDT.P,USDT,5M+,10M-100M,67024635,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:BASUSDT.P,USDT,5M+,10M-100M,66623288,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:BIOUSDT.P,USDT,5M+,10M-100M,63856519,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:MINAUSDT.P,USDT,5M+,10M-100M,63378610,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:WUSDT.P,USDT,5M+,10M-100M,63047720,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:KSMUSDT.P,USDT,5M+,10M-100M,62438073,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:BERAUSDT.P,USDT,5M+,10M-100M,62231360,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:HOMEUSDT.P,USDT,5M+,10M-100M,61111168,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:HOTUSDT.P,USDT,5M+,10M-100M,61098350,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ENJUSDT.P,USDT,5M+,10M-100M,59783553,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:BLURUSDT,USDT,5M+,10M-100M,57491947,33,no,binance_USDT_pairs_07-jul-26.txt
