exchange,quote_asset,volume_bucket,cap_bucket,symbol,base_symbol,market_cap,source_file
binance,EUR,1M-5M,500M+,BINANCE:BTCEUR,BTC,1265744153723,binance_EUR_pairs_07-jul-26.txt
binance,EUR,1M-5M,500M+,BINANCE:ETHEUR,ETH,213947939547,binance_EUR_pairs_07-jul-26.txt
binance,EUR,1M-5M,500M+,BINANCE:SOLEUR,SOL,47449497539,binance_EUR_pairs_07-jul-26.txt
binance,EUR,1M-5M,500M+,BINANCE:XRPEUR,XRP,70226699563,binance_EUR_pairs_07-jul-26.txt
binance,EUR,500K-1000K,500M+,BINANCE:ADAEUR,ADA,6702187370,binance_EUR_pairs_07-jul-26.txt
binance,EUR,500K-1000K,500M+,BINANCE:BTCEUR,BTC,1265744153723,binance_EUR_pairs_07-jul-26.txt
binance,EUR,500K-1000K,500M+,BINANCE:ETHEUR,ETH,213947939547,binance_EUR_pairs_07-jul-26.txt
binance,EUR,500K-1000K,500M+,BINANCE:SOLEUR,SOL,47449497539,binance_EUR_pairs_07-jul-26.txt
binance,EUR,500K-1000K,500M+,BINANCE:XRPEUR,XRP,70226699563,binance_EUR_pairs_07-jul-26.txt
binance,EUR,5M+,500M+,BINANCE:BTCEUR,BTC,1265744153723,binance_EUR_pairs_07-jul-26.txt
binance,USD,1M-5M,500M+,BINANCE:USDCUSD,USDC,73045868544,binance_USD_pairs_07-jul-26.txt
binance,USD,1M-5M,500M+,BINANCE:USDTUSD,USDT,184213378000,binance_USD_pairs_07-jul-26.txt
binance,USD,500K-1000K,500M+,BINANCE:USDCUSD,USDC,73045868544,binance_USD_pairs_07-jul-26.txt
binance,USD,500K-1000K,500M+,BINANCE:USDTUSD,USDT,184213378000,binance_USD_pairs_07-jul-26.txt
binance,USD,5M+,500M+,BINANCE:USDCUSD,USDC,73045868544,binance_USD_pairs_07-jul-26.txt
binance,USD,5M+,500M+,BINANCE:USDTUSD,USDT,184213378000,binance_USD_pairs_07-jul-26.txt
binance,USDC,1M-5M,100M-500M,BINANCE:CRVUSDC.P,CRV,319927602,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,100M-500M,BINANCE:ETHFIUSDC.P,ETHFI,405778598,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,100M-500M,BINANCE:PENGUUSDC.P,PENGU,417279171,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,100M-500M,BINANCE:TIAUSDC.P,TIA,359772646,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,100M-500M,BINANCE:TRUMPUSDC.P,TRUMP,392083147,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,100M-500M,BINANCE:WIFUSDC.P,WIF,168275652,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,10M-100M,BINANCE:ORDIUSDC.P,ORDI,73533257,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:AAVEUSDC.P,AAVE,1423140110,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:ADAUSDC.P,ADA,6702187370,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:ARBUSDC.P,ARB,500213333,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:AVAXUSDC.P,AVAX,2927360426,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:BCHUSDC.P,BCH,4789905508,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:BNBUSDC.P,BNB,77960724262,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:BTCUSDC.P,BTC,1265744153723,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:DOGEUSDC.P,DOGE,11626012901,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:ENAUSDC.P,ENA,729518162,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:ETHUSDC.P,ETH,213947939547,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:FILUSDC.P,FIL,621877919,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:HBARUSDC.P,HBAR,3142733828,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:LINKUSDC.P,LINK,5927422461,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:LTCUSDC.P,LTC,3412767845,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:NEARUSDC.P,NEAR,2646269101,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:SOLUSDC.P,SOL,47449497539,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:SUIUSDC.P,SUI,2996128805,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:UNIUSDC.P,UNI,1965146479,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:WLDUSDC.P,WLD,1402204027,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:WLFIUSDC.P,WLFI,1908524734,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,1M-5M,500M+,BINANCE:XRPUSDC.P,XRP,70226699563,binance_USDC_perp_pairs_07-jul-26.txt
